index,X,Y,FID,STTNKEY,STTNID,NHS,LOCATION,CONFIDENCE,COMMENT,LONGITUDE,LATITUDE,STPOSTAL,AADT,YEAR_GEO,FCLASS,STFIPS,CTFIPS,VERSION
0,-147.7996717942476,64.837219210039,6001,02000530,000530,3,IRPORT WAY BETWEEN MARKET STREET AND UNIVERSITY A,3, ,-147.799672,64.837219,AK,15330,2001,14,2,90,1
1,-147.56570479402967,64.81803121002127,6002,02000531,000531,0,EST END BADGER LOOP ROAD (NB),2,Poor Location Description,-147.565704,64.818031,AK,10620,2001,17,2,90,1
2,-147.80303679425057,64.84928221005032,6003,02000532,000532,7,OHANSEN EXPRESSWAY EAST OF UNIVERSITY AVENUE (EB),2, ,-147.803037,64.849282,AK,20866,2001,14,2,90,1
3,-131.64000477919762,55.34476120119854,6004,02000800,000800,0,AWDEN PTR BTW DOCK & PARK   KETCHIKAN,2,Not on NHPN,-131.640004,55.344761,AK,0,2001, ,2,0,1
4,-131.71156277926434,55.377654201229056,6005,02000801,000801,0,"TONGASS BTW S & N JCTS W/SHORELINE DR, KETCHIKAN",3, ,-131.711563,55.377654,AK,0,2001, ,2,130,1
5,-133.0880777805462,55.550582201390114,6006,02000802,000802,0,RAIG/KLAWOCK/HOLLIS HWY BTW KLAWOCK R. BR. & BAYV,3,Not on NHPN,-133.088078,55.550582,AK,2028,2001,7,2,0,1
6,-132.36461977987256,56.46718520224396,6007,02000803,000803,0,RANGELL PTR: ZIMOVIA HWY BTW BENNET & CASE   WRAN,3, ,-132.36462,56.467186,AK,2113,2001,7,2,280,1
7,-132.95190178041935,56.776219202531536,6008,02000804,000804,0,"ITKOF HWY PTR, S JCT SCOW BAY LOOP - USFS WAREHOU",3, ,-132.951902,56.776219,AK,1081,2001,7,2,280,1
8,-134.7333777820786,58.38314720402816,6009,02000805,000805,0,LACIER HWY BTW N LENA & AUKE BAY FERRY TERMINAL,3, ,-134.733378,58.383147,AK,2019,2001,16,2,110,1
9,-135.33126978263545,57.0529082027893,6010,02000808,000808,8,"ALIBUT PT RD BTW KATLIAN & MARINE STS, SITKA",3, ,-135.33127,57.052908,AK,10370,2001,16,2,220,1
10,-135.474787782769,59.24547220483134,6011,02000809,000809,7,AINES HWY BTW SAWMILL & AIRPORT RDS 1200 FT N OF,3, ,-135.474788,59.245472,AK,955,2001,2,2,100,1
11,-149.3730437957128,60.48521620598586,6012,02MOOSEP,MOOSEP,3,MOOSE PASS MAINTENANCE STATION-ON SEWARD HWY (PERM,2,Poor Location Description,-149.373044,60.485216,AK,0,1999, ,2,112,1
12,-149.75486879606837,62.900676208235375,6013,02000101,000101,1,HULITNA - NB,1,Poor Location Description,-149.754869,62.900676,AK,1193,2001,1,2,170,1
13,-149.7947477961056,61.05891820651999,6014,02000104,000104,0,OTTER II - NB,3,Not on NHPN,-149.794748,61.058918,AK,9333,2001,11,2,0,1
14,-151.83143779800227,59.78589720533456,6015,02000105,000105,7,NCHOR POINT - NB,2,Poor Location Description,-151.831438,59.785897,AK,2581,2001,2,2,112,1
15,-149.21003279556115,61.59981320702412,6016,02000106,000106,0,"PALMER/WASILLA PTR, 1 MILE EAST OF TRUNK RD - EB",3, ,-149.210033,61.599813,AK,14414,1999,6,2,170,1
16,-150.8970937971321,60.514458206013146,6017,02000107,000107,1,TERLING HWY--6 MI E. OF SOLDOTNA-EB,3, ,-150.897094,60.514458,AK,8305,2001,1,2,112,1
17,-149.78512879609656,61.181426206634335,6018,02000109,000109,7,UDOR ROAD-.3 MILES WEST OF BONIFACE ROAD-EB,3, ,-149.785128,61.181426,AK,40432,2001,14,2,20,1
18,-150.04593979633955,61.73994120715462,6019,02000110,000110,1,ILLOW II - NB,3, ,-150.04594,61.739941,AK,3003,2001,1,2,170,1
19,-151.49599979769,59.63707520519597,6020,02000111,000111,0,TERLING HWY--S. OF HOMER AIRPORT-NB,2,Sterling Hwy does not extend south of Homer Airport,-151.496,59.637075,AK,4145,2001,2,2,112,1
20,-149.83177979614015,61.15386220660877,6021,02000112,000112,0,"AKE OTIS PKWY, S OF 74TH AVE - NB",3,Not on NHPN,-149.83178,61.153862,AK,24573,2001,16,2,0,1
21,-151.5078507977009,59.65296920521093,6022,02000113,000113,0,"OMER II, EAST END RD - EB",2,Poor Location Description,-151.507851,59.652969,AK,0,2001, ,2,112,1
22,-152.4493777985778,57.78228520346863,6023,02000114,000114,8,"EZANOF DRIVE, KODIAK - W OF GIBSON COVE RD (FIXED",3, ,-152.449378,57.782285,AK,5219,2001,16,2,150,1
23,-148.9236717952942,60.805506206284285,6024,02000115,000115,8,ORTAGE GLACIER RD (2 MI E OF SEWARD HWY - EB,3, ,-148.923672,60.805506,AK,0,2001, ,2,20,1
24,-149.85774079616428,61.124124206580966,6025,02000116,000116,7,'MALLEY RD-.15 EAST OF NEW SEWARD HWY-EB,3, ,-149.857741,61.124124,AK,15881,2001,16,2,20,1
25,-149.88030779618524,61.20427320665543,6026,02000117,000117,0,ST- AT CHESTER CRK-NB,2,Not on NHPN,-149.880308,61.204273,AK,34773,2001,16,2,0,1
26,-149.8811427961859,61.17389120662728,6027,02000118,000118,0,NT'L AIRPORT RD-0.1 MI EAST OF C ST.-EB,3,Not on NHPN,-149.881143,61.173891,AK,16944,2001,16,2,0,1
27,-149.41678879575346,61.42808920686388,6028,02000120,000120,1,"LENN HWY, AT MIRROR LAKE - NB",3, ,-149.416789,61.428089,AK,0,2001, ,2,20,1
28,-149.89638279620016,61.14330120659877,6029,02000121,000121,0,IMOND BLVD-WEST OF ARCTIC-EB,3,Not on NHPN,-149.896383,61.143301,AK,35012,2001,16,2,0,1
29,-149.86401079617005,61.20236320665373,6030,02000122,000122,0,NGRA @ CHESTER CREEK - NB,2,Not on NHPN,-149.864011,61.202363,AK,54218,2001,11,2,0,1
30,-148.8437277952198,61.71437520713062,6031,02000123,000123,1,"LENN HWY, AT MP53 (N OF PALMER) - NB",2, ,-148.843728,61.714375,AK,2723,2001,1,2,170,1
31,-149.80326679611352,61.21860320666888,6032,02000125,000125,0,"AST 5TH AVE, E OF AIRPORT HTS - EB",1,Not on NHPN,-149.803266,61.218603,AK,0,2001, ,2,0,1
32,-149.91020279621307,61.20484820665615,6033,02000126,000126,7,MINNESOTA DR @ CHESTER CREEK (EXCLUDING SPENARD ON,3, ,-149.910202,61.204848,AK,0,1999, ,2,20,1
33,-151.10452279732544,60.55331120604945,6034,02000127,000127,8,ENAI SPUR - EB,1,Poor Location Description,-151.104522,60.553311,AK,8793,2001,2,2,112,1
34,-148.98950879535568,60.818393206296086,6035,02000128,000128,1,LACER RIVER - NB,2,Poor Location Description,-148.989509,60.818393,AK,0,2001, ,2,20,1
35,-149.97987779627803,61.14809920660339,6036,02000129,000129,0,AND LAKE - NB,2,Not on NHPN - Poor location description,-149.979878,61.1481,AK,2807,2001,17,2,0,1
36,-149.79774179610828,61.198905206650565,6037,02000131,000131,0,AST NORTHERN LIGHTS BLVD (PTR) - EB,1,"Not on NHPN, Poor location description",-149.797742,61.198906,AK,41595,2001,16,2,0,1
37,-149.5443717958724,61.31114220675492,6038,02000132,000132,0,"AGLE RIVER RD, AT CARIBOU ST - EB",3,Not on NHPN,-149.544372,61.311142,AK,8097,2001,16,2,0,1
38,-149.3898577957284,61.57304420699893,6039,02000133,000133,1,"ARKS HWY, AT NYE FORD - EB",1,Poor Location Description,-149.389858,61.573044,AK,0,2001, ,2,170,1
39,-149.37303579571287,60.485284205985806,6040,02000135,000135,3,MOOSE PASS MAINTENANCE STATION-ON SEWARD HWY (PERM,2,Poor Location Description,-149.373036,60.485284,AK,0,1999, ,2,112,1
